id,name,manufacturer,pack,weight,height,width,length,cost
3913,High Quality Small Black Thumbtacks by WizBang,WizBang,210,1008,1.5,0.9,1.2,65.85
3914,Blue Tiny Generic Tablets,6% Solution,750,6000,2.5,1.5,2,426.92
3915,Red Generic Small Pencils,6% Solution,700,4480,2,1.2,1.6,72.63
3916,Black Tiny Generic Ink Pens by Deep Office Supplies,Deep Office Supplies,230,1472,2,1.2,1.6,99.26
3917,Red Medium Generic Pencils by WizBang,WizBang,530,4240,2.5,1.5,2,79.18
3918,Duck Lake Tiny Generic Post It Notes,Duck Lake,73,116.8,0.5,0.3,0.4,8.75
3919,Medium Generic Black Tablets by WizBang,WizBang,590,6608,3.5,2.1,2.8,445.11
3920,Green Tiny High Quality Stapler by Deep Office Supplies,Deep Office Supplies,8,89.6,3.5,2.1,2.8,70.75
3921,Large High Quality Red Stapler by WizBang,WizBang,10,160,5,3,4,87.49
3922,Large Pink Generic Stapler,6% Solution,7,112,5,3,4,66.9
3923,Generic Green Post It Notes by WizBang,WizBang,99,316.8,1,0.6,0.8,16.59
3924,Pink Generic Large Paperweights by Deep Office Supplies,Deep Office Supplies,3,43.2,4.5,2.7,3.6,13.18
3925,Duck Lake Large Black Generic Ink Pens,Duck Lake,940,10528,3.5,2.1,2.8,369.42
3926,Duck Lake Tiny Generic Red Paperweights,Duck Lake,4,38.4,3,1.8,2.4,13.9
3927,Generic Medium Red Paperweights by Deep Office Supplies,Deep Office Supplies,5,64,4,2.4,3.2,17.76
3928,Duck Lake Generic Small Ink Pens,Duck Lake,490,3920,2.5,1.5,2,176.4
3929,High Quality Pink Large Tablets by WizBang,WizBang,250,3200,4,2.4,3.2,278.13
3930,Green Large High Quality Tablets by Deep Office Supplies,Deep Office Supplies,310,3968,4,2.4,3.2,262.24
3931,Generic Small Pencils,6% Solution,620,3968,2,1.2,1.6,133
3932,Large Blue Generic Paperclips by WizBang,WizBang,530,3392,2,1.2,1.6,104.14
3933,Blue Medium Generic Paperweights,Offices-R-Us,1,12.8,4,2.4,3.2,4.43
3934,Brown Large Pencils by Deep Office Supplies,Deep Office Supplies,1000,9600,3,1.8,2.4,247.64
3935,Large Brown Generic Tablets by WizBang,WizBang,930,11904,4,2.4,3.2,613.42
3936,Generic Brown Paperweights by Deep Office Supplies,Deep Office Supplies,2,22.4,3.5,2.1,2.8,8.25
3937,Duck Lake High Quality Red Large Paperweights,Duck Lake,5,72,4.5,2.7,3.6,18.6
3938,High Quality Tiny Post It Notes by Deep Office Supplies,Deep Office Supplies,67,107.2,0.5,0.3,0.4,19.8
3939,High Quality Large Blue Stapler by Deep Office Supplies,Deep Office Supplies,7,112,5,3,4,65.21
3940,Black High Quality Medium Pencils,Offices-R-Us,270,2160,2.5,1.5,2,107.06
3941,Generic Medium Pink Paperclips by Deep Office Supplies,Deep Office Supplies,260,1248,1.5,0.9,1.2,95.48
3942,Medium Blue Generic Tablets,6% Solution,820,9184,3.5,2.1,2.8,508.41
3943,Small White Tablets by WizBang,WizBang,830,7968,3,1.8,2.4,594.35
3944,Duck Lake Generic Brown Small Stapler,Duck Lake,3,38.4,4,2.4,3.2,30.35
3945,Green Generic Tablets by WizBang,WizBang,820,10496,4,2.4,3.2,508.41
3946,Green Small Generic Ink Pens by Deep Office Supplies,Deep Office Supplies,340,2720,2.5,1.5,2,105.79
3947,Generic Medium Red Stapler,6% Solution,6,86.4,4.5,2.7,3.6,54.99
3948,Generic Green Medium Paperweights,6% Solution,8,102.4,4,2.4,3.2,27.46
3949,Green Generic Paperclips,6% Solution,740,2368,1,0.6,0.8,57.05
3950,Generic Large Green Thumbtacks by Deep Office Supplies,Deep Office Supplies,700,5600,2.5,1.5,2,114.41
3951,Blue Generic Paperweights by WizBang,WizBang,5,72,4.5,2.7,3.6,19.02
3952,High Quality Black Tablets,Offices-R-Us,130,1664,4,2.4,3.2,152.4
3953,Duck Lake Large High Quality Brown Post It Notes,Duck Lake,15,72,1.5,0.9,1.2,7.77
3954,High Quality Black Thumbtacks,Offices-R-Us,150,480,1,0.6,0.8,42.95
3955,Duck Lake Generic Brown Pencils,Duck Lake,180,1440,2.5,1.5,2,60.64
3956,Duck Lake Black High Quality Post It Notes,Duck Lake,43,137.6,1,0.6,0.8,19.05
3957,Tiny Blue Generic Post It Notes,Offices-R-Us,89,142.4,0.5,0.3,0.4,10.3
3958,Tiny Red High Quality Thumbtacks,6% Solution,960,3072,1,0.6,0.8,52.3
3959,Black Generic Stapler by Deep Office Supplies,Deep Office Supplies,9,144,5,3,4,81.93
3960,Large Black Generic Ink Pens by WizBang,WizBang,340,3808,3.5,2.1,2.8,176.7
3961,Pink Large Generic Stapler,6% Solution,6,96,5,3,4,58.44
3962,Generic Pink Small Thumbtacks by WizBang,WizBang,600,2880,1.5,0.9,1.2,167.3
3963,Large White Stapler by WizBang,WizBang,6,96,5,3,4,57.95
3964,Tiny Brown Stapler by WizBang,WizBang,2,22.4,3.5,2.1,2.8,20.97
3965,Medium High Quality White Pencils by WizBang,WizBang,350,2800,2.5,1.5,2,145.1
3966,Duck Lake Small Green Generic Thumbtacks,Duck Lake,260,1248,1.5,0.9,1.2,31.61
3967,Duck Lake Small Brown Paperweights,Duck Lake,4,44.8,3.5,2.1,2.8,15.62
3968,Duck Lake Green High Quality Small Tablets,Duck Lake,190,1824,3,1.8,2.4,161.12
3969,High Quality Blue Medium Post It Notes by Deep Office Supplies,Deep Office Supplies,52,166.4,1,0.6,0.8,16.04
3970,Duck Lake Black Generic Medium Tablets,Duck Lake,990,11088,3.5,2.1,2.8,640.09
3971,Blue High Quality Tablets by WizBang,WizBang,530,5088,3,1.8,2.4,372.19
3972,Duck Lake Large White Generic Pencils,Duck Lake,600,5760,3,1.8,2.4,216.37
3973,Medium Green Thumbtacks,6% Solution,150,960,2,1.2,1.6,35.47
3974,Generic White Tiny Paperweights,Offices-R-Us,1,9.6,3,1.8,2.4,4.53
3975,Large Generic Black Tablets,6% Solution,170,2176,4,2.4,3.2,180.61
3976,Pink High Quality Ink Pens by Deep Office Supplies,Deep Office Supplies,440,4224,3,1.8,2.4,248.97
3977,Pink Tiny High Quality Paperweights by WizBang,WizBang,8,76.8,3,1.8,2.4,30
3978,White High Quality Stapler,Offices-R-Us,7,100.8,4.5,2.7,3.6,66.34
3979,Generic Small Brown Stapler,Offices-R-Us,8,102.4,4,2.4,3.2,72.02
3980,Duck Lake White High Quality Paperweights,Duck Lake,4,44.8,3.5,2.1,2.8,16.31
3981,Large Generic Stapler by WizBang,WizBang,6,96,5,3,4,55.49
3982,Blue High Quality Tiny Pencils by WizBang,WizBang,260,1248,1.5,0.9,1.2,57.81
3983,White Small Generic Paperclips by Deep Office Supplies,Deep Office Supplies,340,1088,1,0.6,0.8,88.94
3984,Duck Lake High Quality Medium Black Paperclips,Duck Lake,960,4608,1.5,0.9,1.2,218.72
3985,High Quality Black Large Ink Pens,Offices-R-Us,590,6608,3.5,2.1,2.8,287.46
3986,High Quality White Large Thumbtacks,6% Solution,1000,8000,2.5,1.5,2,301.15
3987,Generic Blue Tablets,Offices-R-Us,940,12032,4,2.4,3.2,588.27
3988,Blue High Quality Small Stapler by Deep Office Supplies,Deep Office Supplies,8,102.4,4,2.4,3.2,72.02
3989,Large White Thumbtacks,6% Solution,570,4560,2.5,1.5,2,202.86
3990,High Quality Large Pink Thumbtacks,6% Solution,450,3600,2.5,1.5,2,188.02
3991,Tiny High Quality Thumbtacks by Deep Office Supplies,Deep Office Supplies,600,1920,1,0.6,0.8,102.45
3992,Brown High Quality Large Paperweights by Deep Office Supplies,Deep Office Supplies,5,72,4.5,2.7,3.6,19.86
3993,Generic Red Post It Notes,6% Solution,73,116.8,0.5,0.3,0.4,4.58
3994,Small Green Generic Pencils by Deep Office Supplies,Deep Office Supplies,890,5696,2,1.2,1.6,114.48
3995,High Quality Small White Tablets,Offices-R-Us,780,7488,3,1.8,2.4,569.13
3996,Blue Small Generic Ink Pens,Offices-R-Us,690,5520,2.5,1.5,2,202.16
3997,High Quality Small Blue Post It Notes by Deep Office Supplies,Deep Office Supplies,25,40,0.5,0.3,0.4,6.95
3998,Small White Ink Pens by Deep Office Supplies,Deep Office Supplies,150,1200,2.5,1.5,2,85.77
3999,Duck Lake Medium Green High Quality Tablets,Duck Lake,380,4256,3.5,2.1,2.8,290.67
4000,High Quality Green Large Paperclips by WizBang,WizBang,480,3072,2,1.2,1.6,96.82
4001,Duck Lake Blue Small High Quality Post It Notes,Duck Lake,91,145.6,0.5,0.3,0.4,20.48
4002,Red High Quality Large Ink Pens,6% Solution,860,9632,3.5,2.1,2.8,263.84
4003,Duck Lake Medium High Quality Brown Tablets,Duck Lake,380,4256,3.5,2.1,2.8,321.53
4004,Brown Tiny High Quality Thumbtacks by Deep Office Supplies,Deep Office Supplies,740,2368,1,0.6,0.8,119
4005,Pink Generic Tiny Ink Pens by Deep Office Supplies,Deep Office Supplies,360,2304,2,1.2,1.6,169.72
4006,Duck Lake Generic Green Large Tablets,Duck Lake,760,9728,4,2.4,3.2,482.09
4007,Large Generic Post It Notes by WizBang,WizBang,75,360,1.5,0.9,1.2,30.26
4008,Generic Blue Small Thumbtacks,6% Solution,870,4176,1.5,0.9,1.2,105.12
4009,Duck Lake High Quality Tiny Black Stapler,Duck Lake,6,67.2,3.5,2.1,2.8,56.47
4010,Black Generic Large Tablets by Deep Office Supplies,Deep Office Supplies,660,8448,4,2.4,3.2,505.65
4011,Blue Large High Quality Ink Pens,6% Solution,350,3920,3.5,2.1,2.8,166.14
4012,Duck Lake Brown Small Generic Paperweights,Duck Lake,7,78.4,3.5,2.1,2.8,25
4013,Medium Brown High Quality Stapler,6% Solution,7,100.8,4.5,2.7,3.6,65.21
4014,Duck Lake Green High Quality Large Ink Pens,Duck Lake,650,7280,3.5,2.1,2.8,239.53
4015,Pink Generic Paperweights,Offices-R-Us,2,28.8,4.5,2.7,3.6,9.18
4016,Duck Lake Medium High Quality Pink Ink Pens,Duck Lake,860,8256,3,1.8,2.4,403.29
4017,Generic Brown Medium Paperclips,Offices-R-Us,420,2016,1.5,0.9,1.2,87.68
4018,Large Generic Green Pencils by Deep Office Supplies,Deep Office Supplies,680,6528,3,1.8,2.4,142.1
4019,Tiny Pink High Quality Paperclips,Offices-R-Us,180,288,0.5,0.3,0.4,62.92
4020,Brown Large Generic Tablets by WizBang,WizBang,390,4992,4,2.4,3.2,327.88
4021,Duck Lake Red Generic Small Stapler,Duck Lake,1,12.8,4,2.4,3.2,11.07
4022,Large Generic Thumbtacks,Offices-R-Us,350,2800,2.5,1.5,2,97.7
4023,Duck Lake Black High Quality Pencils,Duck Lake,790,6320,2.5,1.5,2,236.84
4024,Brown Generic Small Paperweights by WizBang,WizBang,2,22.4,3.5,2.1,2.8,8.25
4025,Brown Medium Stapler,6% Solution,5,72,4.5,2.7,3.6,48.1
4026,Pink High Quality Large Tablets,6% Solution,580,7424,4,2.4,3.2,524.01
4027,Tiny Generic Blue Tablets by Deep Office Supplies,Deep Office Supplies,320,2560,2.5,1.5,2,228.05
4028,Large High Quality White Ink Pens by WizBang,WizBang,870,9744,3.5,2.1,2.8,406.52
4029,Duck Lake White Generic Large Stapler,Duck Lake,2,32,5,3,4,21.9
4030,Blue Generic Tiny Tablets by Deep Office Supplies,Deep Office Supplies,150,1200,2.5,1.5,2,126.04
4031,Green Small Generic Paperclips by WizBang,WizBang,650,2080,1,0.6,0.8,52.02
4032,High Quality Red Pencils by Deep Office Supplies,Deep Office Supplies,430,2064,1.5,0.9,1.2,50.92
4033,Generic Red Ink Pens by Deep Office Supplies,Deep Office Supplies,550,3520,2,1.2,1.6,110.81
4034,Brown Generic Ink Pens,6% Solution,350,3920,3.5,2.1,2.8,166.14
4035,High Quality Brown Small Tablets,Offices-R-Us,610,5856,3,1.8,2.4,434.09
4036,Tiny High Quality Pink Pencils by WizBang,WizBang,470,2256,1.5,0.9,1.2,162.89
4037,Tiny Brown Generic Ink Pens,Offices-R-Us,440,2816,2,1.2,1.6,145.66
4038,Black Large High Quality Paperweights by WizBang,WizBang,7,100.8,4.5,2.7,3.6,27.26
4039,Large White Generic Paperweights,6% Solution,4,57.6,4.5,2.7,3.6,16.66
4040,High Quality Green Thumbtacks,Offices-R-Us,910,5824,2,1.2,1.6,137.42
4041,Large Red Generic Ink Pens by Deep Office Supplies,Deep Office Supplies,780,8736,3.5,2.1,2.8,220.44
4042,High Quality Brown Medium Thumbtacks by WizBang,WizBang,800,5120,2,1.2,1.6,178.74
4043,Pink Generic Large Post It Notes by Deep Office Supplies,Deep Office Supplies,15,72,1.5,0.9,1.2,9.95
4044,Large Generic Pink Paperclips by WizBang,WizBang,840,5376,2,1.2,1.6,254.41
4045,Generic Medium Black Thumbtacks by Deep Office Supplies,Deep Office Supplies,260,1664,2,1.2,1.6,77.78
4046,Generic Brown Stapler,6% Solution,3,48,5,3,4,30.89
4047,Duck Lake Medium Generic White Paperweights,Duck Lake,8,102.4,4,2.4,3.2,30
4048,Pink Generic Medium Paperweights,Offices-R-Us,3,38.4,4,2.4,3.2,12.91
4049,Duck Lake Black Tiny Pencils,Duck Lake,780,3744,1.5,0.9,1.2,182.63
4050,Duck Lake Brown Generic Medium Ink Pens,Duck Lake,720,6912,3,1.8,2.4,257.62
4051,Medium Black High Quality Paperweights by Deep Office Supplies,Deep Office Supplies,6,76.8,4,2.4,3.2,23.32
4052,Large Generic White Ink Pens by Deep Office Supplies,Deep Office Supplies,670,7504,3.5,2.1,2.8,314.98
4053,Duck Lake Tiny Green High Quality Paperclips,Duck Lake,130,208,0.5,0.3,0.4,15.16
4054,Duck Lake High Quality Medium Pink Tablets,Duck Lake,430,4816,3.5,2.1,2.8,403.53
4055,High Quality Medium Green Tablets,Offices-R-Us,850,9520,3.5,2.1,2.8,521.25
4056,Medium Generic Brown Paperweights,Offices-R-Us,10,128,4,2.4,3.2,34.9
4057,Red High Quality Tiny Thumbtacks by Deep Office Supplies,Deep Office Supplies,900,2880,1,0.6,0.8,50.04
4058,Duck Lake Medium Generic Pencils,Duck Lake,200,1600,2.5,1.5,2,56.5
4059,Black Large High Quality Paperclips,6% Solution,340,2176,2,1.2,1.6,117.31
4060,Generic Medium Paperweights by WizBang,WizBang,2,25.6,4,2.4,3.2,8.81
4061,Duck Lake Pink High Quality Tiny Paperweights,Duck Lake,4,38.4,3,1.8,2.4,16.31
4062,High Quality Brown Paperclips,6% Solution,310,496,0.5,0.3,0.4,56.46
4063,High Quality Brown Tiny Ink Pens,Offices-R-Us,620,3968,2,1.2,1.6,209.4
4064,Duck Lake Black Medium Tablets,Duck Lake,200,2240,3.5,2.1,2.8,195.98
4065,Tiny Generic Pink Ink Pens,6% Solution,110,704,2,1.2,1.6,66.8
4066,Generic Small Blue Post It Notes,Offices-R-Us,58,92.8,0.5,0.3,0.4,10.68
4067,Generic Red Medium Thumbtacks by Deep Office Supplies,Deep Office Supplies,690,4416,2,1.2,1.6,65.45
4068,Generic Large Green Post It Notes by WizBang,WizBang,76,364.8,1.5,0.9,1.2,17.67
4069,Generic Tiny Pencils,6% Solution,400,1920,1.5,0.9,1.2,128.41
4070,Large Green Generic Thumbtacks,Offices-R-Us,930,7440,2.5,1.5,2,139.48
4071,Pink Small Tablets by WizBang,WizBang,670,6432,3,1.8,2.4,534.52
4072,High Quality Large Ink Pens by WizBang,WizBang,160,1792,3.5,2.1,2.8,121.82
4073,Duck Lake Green Large Pencils,Duck Lake,490,4704,3,1.8,2.4,112.04
4074,Duck Lake White Generic Small Stapler,Duck Lake,6,76.8,4,2.4,3.2,56.96
4075,High Quality Pink Stapler,Offices-R-Us,9,129.6,4.5,2.7,3.6,83.33
4076,Medium High Quality Ink Pens,Offices-R-Us,210,2016,3,1.8,2.4,82.66
4077,Medium Red Tablets,6% Solution,830,9296,3.5,2.1,2.8,485.5
4078,Small Pink Generic Paperweights by Deep Office Supplies,Deep Office Supplies,10,112,3.5,2.1,2.8,36.44
4079,Small Generic Brown Thumbtacks by Deep Office Supplies,Deep Office Supplies,260,1248,1.5,0.9,1.2,54.7
4080,Large Black Paperclips,6% Solution,570,3648,2,1.2,1.6,172.3
4081,Large White Generic Pencils by Deep Office Supplies,Deep Office Supplies,450,4320,3,1.8,2.4,175.23
4082,White High Quality Large Pencils,Offices-R-Us,180,1728,3,1.8,2.4,95.25
4083,High Quality Green Tiny Tablets by Deep Office Supplies,Deep Office Supplies,230,1840,2.5,1.5,2,176.71
4084,Duck Lake Generic Brown Small Ink Pens,Duck Lake,800,6400,2.5,1.5,2,250.9
4085,Small Generic Thumbtacks by WizBang,WizBang,790,3792,1.5,0.9,1.2,124.59
4086,Brown Tiny High Quality Paperweights by WizBang,WizBang,8,76.8,3,1.8,2.4,28.1
4087,High Quality Green Tiny Pencils,Offices-R-Us,150,720,1.5,0.9,1.2,30
4088,Duck Lake High Quality Brown Small Tablets,Duck Lake,160,1536,3,1.8,2.4,156.34
4089,Large Red Generic Pencils by WizBang,WizBang,910,8736,3,1.8,2.4,145.24
4090,Blue Large Stapler,6% Solution,3,48,5,3,4,30.62
4091,High Quality Tiny Red Paperweights,Offices-R-Us,6,57.6,3,1.8,2.4,20.36
4092,Small White Generic Paperclips,6% Solution,700,2240,1,0.6,0.8,151.42
4093,Red Tiny Generic Ink Pens,Offices-R-Us,430,2752,2,1.2,1.6,92.41
4094,Pink Large Paperweights by Deep Office Supplies,Deep Office Supplies,9,129.6,4.5,2.7,3.6,34.65
4095,Duck Lake Large High Quality Brown Paperweights,Duck Lake,3,43.2,4.5,2.7,3.6,12.64
4096,Duck Lake Tiny White Generic Stapler,Duck Lake,8,89.6,3.5,2.1,2.8,72.66
4097,Pink Small Generic Tablets by Deep Office Supplies,Deep Office Supplies,960,9216,3,1.8,2.4,656.93
4098,Green Generic Medium Thumbtacks,Offices-R-Us,440,2816,2,1.2,1.6,64.38
4099,Medium Green High Quality Pencils,Offices-R-Us,640,5120,2.5,1.5,2,136.07
4100,Duck Lake Pink Generic Paperclips,Duck Lake,280,1344,1.5,0.9,1.2,101.1
4101,Large Red Tablets,Offices-R-Us,180,2304,4,2.4,3.2,154.38
4102,Duck Lake Brown Generic Stapler,Duck Lake,6,67.2,3.5,2.1,2.8,55.49
4103,Small High Quality Paperclips by WizBang,WizBang,970,3104,1,0.6,0.8,189.98
4104,Small Generic Pink Thumbtacks by Deep Office Supplies,Deep Office Supplies,710,3408,1.5,0.9,1.2,188.73
4105,Brown Small Generic Thumbtacks by WizBang,WizBang,260,1248,1.5,0.9,1.2,54.7
4106,High Quality Red Tablets by WizBang,WizBang,700,5600,2.5,1.5,2,382.45
4107,Green Large Generic Stapler,Offices-R-Us,8,128,5,3,4,72.02
4108,Medium Red High Quality Tablets,6% Solution,820,9184,3.5,2.1,2.8,481.42
4109,Large Brown Thumbtacks by WizBang,WizBang,820,6560,2.5,1.5,2,181.84
4110,Duck Lake Black High Quality Tablets,Duck Lake,460,5888,4,2.4,3.2,406.49
4111,Black Generic Small Post It Notes,6% Solution,5,8,0.5,0.3,0.4,2.14
4112,Green Generic Medium Paperclips,Offices-R-Us,760,3648,1.5,0.9,1.2,83.72
4113,Generic Large Brown Paperclips by Deep Office Supplies,Deep Office Supplies,820,5248,2,1.2,1.6,169.24
4114,Duck Lake High Quality Tiny Red Paperclips,Duck Lake,260,416,0.5,0.3,0.4,14.68
4115,Small Blue Stapler by Deep Office Supplies,Deep Office Supplies,6,76.8,4,2.4,3.2,55.49
4116,Brown Small Thumbtacks,6% Solution,430,2064,1.5,0.9,1.2,97.14
4117,Duck Lake Pink Medium Generic Tablets,Duck Lake,730,8176,3.5,2.1,2.8,568.08
4118,Medium Red Generic Stapler by WizBang,WizBang,1,14.4,4.5,2.7,3.6,11.17
4119,Green Medium Generic Pencils by Deep Office Supplies,Deep Office Supplies,670,5360,2.5,1.5,2,117.21
4120,Generic Tiny Stapler,Offices-R-Us,9,100.8,3.5,2.1,2.8,79.12
4121,Tiny High Quality Thumbtacks,Offices-R-Us,460,1472,1,0.6,0.8,102.13
4122,Red Generic Large Stapler,6% Solution,6,96,5,3,4,55.49
4123,Black Generic Ink Pens by WizBang,WizBang,590,4720,2.5,1.5,2,223.39
4124,Blue High Quality Small Paperweights by Deep Office Supplies,Deep Office Supplies,8,89.6,3.5,2.1,2.8,28.1
4125,Small High Quality Red Tablets,6% Solution,110,1056,3,1.8,2.4,98.18
4126,Duck Lake Tiny Blue Stapler,Duck Lake,2,22.4,3.5,2.1,2.8,20.97
4127,High Quality Medium Brown Paperclips,Offices-R-Us,150,720,1.5,0.9,1.2,46.94
4128,Green Large Generic Stapler,6% Solution,3,48,5,3,4,30.35
4129,Generic Small Stapler by Deep Office Supplies,Deep Office Supplies,6,76.8,4,2.4,3.2,56.47
4130,Black High Quality Tiny Tablets by Deep Office Supplies,Deep Office Supplies,180,1440,2.5,1.5,2,171.68
4131,Duck Lake Brown Generic Small Paperweights,Duck Lake,7,78.4,3.5,2.1,2.8,25
4132,High Quality Black Ink Pens by WizBang,WizBang,380,3040,2.5,1.5,2,176.79
4133,Large High Quality Green Ink Pens by WizBang,WizBang,950,10640,3.5,2.1,2.8,312.37
4134,Small Generic White Stapler,Offices-R-Us,4,51.2,4,2.4,3.2,39.85
4135,Green High Quality Medium Pencils by WizBang,WizBang,260,2080,2.5,1.5,2,69.35
4136,Blue Generic Medium Stapler by Deep Office Supplies,Deep Office Supplies,5,72,4.5,2.7,3.6,47.68
4137,Medium High Quality Black Paperclips,6% Solution,640,3072,1.5,0.9,1.2,164.68
4138,High Quality Tiny Red Paperweights by WizBang,WizBang,4,38.4,3,1.8,2.4,14.24
4139,Medium High Quality Black Stapler by Deep Office Supplies,Deep Office Supplies,1,14.4,4.5,2.7,3.6,11.67
4140,Black High Quality Pencils,6% Solution,620,4960,2.5,1.5,2,199.41
4141,Small White Generic Pencils,6% Solution,780,4992,2,1.2,1.6,208.68
4142,Brown Large High Quality Thumbtacks by Deep Office Supplies,Deep Office Supplies,700,5600,2.5,1.5,2,186.84
4143,Large Black High Quality Paperclips by Deep Office Supplies,Deep Office Supplies,860,5504,2,1.2,1.6,230.7
4144,Black High Quality Small Post It Notes by WizBang,WizBang,75,120,0.5,0.3,0.4,26
4145,Small Blue High Quality Pencils by Deep Office Supplies,Deep Office Supplies,340,2176,2,1.2,1.6,85.21
4146,High Quality Tiny Black Tablets by Deep Office Supplies,Deep Office Supplies,150,1200,2.5,1.5,2,148.49
4147,Pink Tiny Generic Paperclips,6% Solution,810,1296,0.5,0.3,0.4,167.8
4148,Red Generic Tiny Post It Notes by Deep Office Supplies,Deep Office Supplies,54,86.4,0.5,0.3,0.4,0.32
4149,Tiny Generic White Pencils,Offices-R-Us,120,576,1.5,0.9,1.2,43.84
4150,Red Small Generic Thumbtacks,Offices-R-Us,560,2688,1.5,0.9,1.2,35.76
4151,Duck Lake Tiny High Quality Post It Notes,Duck Lake,49,78.4,0.5,0.3,0.4,18.26
4152,High Quality Green Tiny Paperclips by WizBang,WizBang,990,1584,0.5,0.3,0.4,69.77
4153,Tiny Red Generic Paperweights,6% Solution,5,48,3,1.8,2.4,16.92
4154,Large Green High Quality Thumbtacks,6% Solution,190,1520,2.5,1.5,2,51.83
4155,Tiny Red Pencils by Deep Office Supplies,Deep Office Supplies,560,2688,1.5,0.9,1.2,41.3
4156,Blue Tiny Generic Pencils by WizBang,WizBang,230,1104,1.5,0.9,1.2,42.06
4157,High Quality Tiny Ink Pens,6% Solution,990,6336,2,1.2,1.6,229.11
4158,Generic Large Red Stapler by WizBang,WizBang,10,160,5,3,4,86.72
4159,Duck Lake Generic Tiny Tablets,Duck Lake,920,7360,2.5,1.5,2,579.68
4160,Red High Quality Medium Paperclips,Offices-R-Us,310,1488,1.5,0.9,1.2,43.24
4161,High Quality Medium Red Post It Notes,Offices-R-Us,32,102.4,1,0.6,0.8,6.48
4162,Blue Generic Tablets by Deep Office Supplies,Deep Office Supplies,880,9856,3.5,2.1,2.8,533.9
4163,Duck Lake Small Black Generic Paperweights,Duck Lake,9,100.8,3.5,2.1,2.8,31.84
4164,Green Small Pencils,6% Solution,730,4672,2,1.2,1.6,99.7
4165,Duck Lake High Quality Brown Medium Tablets,Duck Lake,870,9744,3.5,2.1,2.8,585.94
4166,Small Black High Quality Stapler by Deep Office Supplies,Deep Office Supplies,6,76.8,4,2.4,3.2,56.96
4167,Large Generic Post It Notes by WizBang,WizBang,20,96,1.5,0.9,1.2,9.95
4168,Large Brown Stapler,Offices-R-Us,7,112,5,3,4,65.77
4169,Duck Lake Generic Blue Small Ink Pens,Duck Lake,330,2640,2.5,1.5,2,117.28
4170,Large Blue Generic Post It Notes,6% Solution,59,283.2,1.5,0.9,1.2,17.82
4171,Generic Red Medium Paperweights by WizBang,WizBang,10,128,4,2.4,3.2,32.59
4172,Duck Lake Green Medium High Quality Tablets,Duck Lake,630,7056,3.5,2.1,2.8,421.89
4173,Generic Green Tablets,Offices-R-Us,270,2592,3,1.8,2.4,200.15
4174,Brown Generic Tiny Paperweights,Offices-R-Us,10,96,3,1.8,2.4,33.36
4175,Red High Quality Small Tablets by WizBang,WizBang,540,5184,3,1.8,2.4,337.26
4176,Generic White Paperclips by WizBang,WizBang,420,2016,1.5,0.9,1.2,120.94
4177,Brown Generic Tiny Paperweights by Deep Office Supplies,Deep Office Supplies,1,9.6,3,1.8,2.4,4.33
4178,Small Generic Paperweights by Deep Office Supplies,Deep Office Supplies,5,56,3.5,2.1,2.8,19.44
4179,High Quality Red Tiny Thumbtacks,Offices-R-Us,610,1952,1,0.6,0.8,38.04
4180,Duck Lake Small White High Quality Pencils,Duck Lake,510,3264,2,1.2,1.6,173
4181,Generic Large Green Stapler,6% Solution,5,80,5,3,4,47.68
4182,Duck Lake Generic Tiny Green Ink Pens,Duck Lake,230,1472,2,1.2,1.6,67.78
4183,Generic Medium Green Thumbtacks by Deep Office Supplies,Deep Office Supplies,870,5568,2,1.2,1.6,105.12
4184,Duck Lake Blue Medium Generic Ink Pens,Duck Lake,140,1344,3,1.8,2.4,66.99
4185,High Quality Medium Black Thumbtacks by WizBang,WizBang,890,5696,2,1.2,1.6,221.01
4186,White Medium Paperclips by Deep Office Supplies,Deep Office Supplies,660,3168,1.5,0.9,1.2,168.35
4187,Brown High Quality Small Tablets,Offices-R-Us,950,9120,3,1.8,2.4,592.53
4188,High Quality Brown Medium Ink Pens by WizBang,WizBang,290,2784,3,1.8,2.4,143.9
4189,Red Small Ink Pens,Offices-R-Us,820,6560,2.5,1.5,2,174.31
4190,Large Black High Quality Thumbtacks by Deep Office Supplies,Deep Office Supplies,110,880,2.5,1.5,2,50.94
4191,High Quality Green Tiny Stapler by WizBang,WizBang,1,11.2,3.5,2.1,2.8,11.17
4192,Brown Large Generic Thumbtacks by WizBang,WizBang,820,6560,2.5,1.5,2,181.84
4193,Tiny Pink High Quality Ink Pens,6% Solution,440,2816,2,1.2,1.6,214.54
4194,Pink Large High Quality Thumbtacks by WizBang,WizBang,930,7440,2.5,1.5,2,316.08
4195,Black High Quality Medium Ink Pens by WizBang,WizBang,810,7776,3,1.8,2.4,333.35
4196,Duck Lake Small Generic Blue Stapler,Duck Lake,2,25.6,4,2.4,3.2,20.97
4197,Green High Quality Large Ink Pens by Deep Office Supplies,Deep Office Supplies,230,2576,3.5,2.1,2.8,109.75
4198,Black Small High Quality Tablets,Offices-R-Us,550,5280,3,1.8,2.4,422.98
4199,Large High Quality Blue Pencils,Offices-R-Us,930,8928,3,1.8,2.4,235.71
4200,Black Generic Small Post It Notes,6% Solution,65,104,0.5,0.3,0.4,19.31
4201,Small Generic Blue Thumbtacks by Deep Office Supplies,Deep Office Supplies,810,3888,1.5,0.9,1.2,100.03
